UCYO_jab_esuFRV4b17AJtAw,3blue1brown,2.5,2023-11-21 18:24:00,Maths,En
UCkMsSGlEMPRxhqvGj6qeucQ,12Parsecs,2.5,2023-11-21 18:23:00,Science,Fr
UCDKPGD9T00eS_l--D_DRTUQ,AdrienLinuxtricks,2.5,2023-11-21 16:40:00,Tech,Fr
UCyikblNJCntBClfPOhPbFqQ,AIforyouMorganGautherot,2.5,2023-11-21 16:45:00,IA,Fr
UCwXc5G-RAKu9oC2yO4cXmuw,allocine,2.5,2023-11-21 16:28:00,Cinema,Fr
UCk8nwwBG9rw74CwOzZ2SlZA,AlphaBody,2.5,2023-11-21 18:43:00,Muscle,?
UCMsa7d7RleWlicVj2ZjfP5A,AlphaFloor320,2.5,2023-11-21 18:21:00,Fly,Fr
UCmm1zwh36e_WN1E7_-4j1Bw,AnanasMuscle,2.5,2023-11-21 18:43:00,Muscle,Fr
UCXUPKJO5MZQN11PqgIvyuvQ,AndrejKarpathy,2.5,2023-11-21 18:34:00,IA,En
UCUyGfgvkPXfV80exjZIqmVQ,antoinebm,2.5,2023-11-21 18:41:00,?,Fr
UCVhQ2NnY5Rskt6UjCUkJ_DA,ArjanCodes,2.5,2023-11-21 18:41:00,IA,En
UCXV7LUI7G1MaKRN18yQ5y7Q,artefamilyfr,2.5,2023-11-21 18:17:00,Misc.,Fr
UCtatfZMf-8EkIwASXM4ts0A,AssemblyAI,2.5,2023-11-21 16:31:00,IA,En
UC5X4e8ScZI2AFd_vkjSoyoQ,AstronoGeek,2.5,2023-11-21 18:31:00,Space,Fr
UC8Ux-LOyEXeioYQ4LFzpBXw,AudeWTFake,2.5,2023-11-21 16:39:00,Sceptic,Fr
UCS0vS10KAA2e7wWuUWvorNw,aureliechevalierpiano,2.5,2023-11-21 18:23:00,Piano,?
UCU2gnFgbyaI5AVDgcvscjdw,baborlelefan,2.5,2023-11-21 16:29:00,Humour,Fr
UCCMxHHciWRBBouzk-PGzmtQ,BazarduGrenier,2.5,2023-11-21 16:41:00,Gaming,Fr
UCfj4kQ6_mYO5r4hzX5KloVw,beINSPORTSFrance,2.5,2023-11-21 16:19:00,Sport,Fr
UCLOAPb7ATQUs_nDs9ViLcMw,BenjaminCode,2.5,2023-11-21 18:41:00,Code,Fr
UC3SLk50bvlivTtnFZqk-bHQ,benzaieTV,2.5,2023-11-21 16:13:00,Gaming,Fr
UCNomA5Zdzq9_TkYxDBiov2w,blablalinux,2.5,2023-11-21 18:21:00,Tech,Fr
UCHIqpj0ICijFCizjqUSuvvw,BricolageFacile,2.5,2023-11-21 18:41:00,Bricole,Fr
UC8ggH3zU61XO0nMskSQwZdA,CanalplusSport,2.5,2023-11-21 16:22:00,F1,Fr
UCrHXK2A9JtiexqwHuWGeSMg,CERN,2.5,2023-11-21 18:33:00,Science,En
UCENv8pH4LkzvuSV_qHIcslg,Cestpassorcierofficiel,2.5,2023-11-21 18:33:00,Science,Fr
UCOuIgj0CYCXCvjWywjDbauw,ChatSceptique,2.5,2023-11-21 18:21:00,Stats,Fr
UCL-ezeqTFL5i463ueWb-IJw,chesscomFR,2.5,2023-11-21 16:09:00,Chess,En
UCOKcrwBlmIHL-fdVpU7dJ9w,clemententretemps,2.5,2023-11-21 16:30:00,Watch,Fr
UCOixknKUV8AaCA5uaaBY0Bw,CnesFrance,2.5,2023-11-21 18:17:00,Science,Fr
UCVRJ6D343dX-x730MRP8tNw,cocadmin,2.5,2023-11-21 18:21:00,Code,Fr
UCtxCXg-UvSnTKPOzLH4wJaQ,CodingTech,2.5,2023-11-21 18:21:00,Code,?
UCxUzB3gIWxjXFtT6ewG_XnQ,College-de-France,2.5,2023-11-21 16:20:00,Misc.,Fr
UC9-y-6csu5WGm29I7JiwpnA,Computerphile,2.5,2023-11-21 16:40:00,Code,En
UCCezIgC97PvUuR4_gbFUs5g,coreyms,2.5,2023-11-21 18:24:00,Python,En
UCyWqModMQlbIo8274Wh_ZsQ,cyprien,2.5,2023-11-21 16:28:00,Humour,Fr
UCah8C0gmLkdtvsy0b2jrjrw,CyrusNorth,2.5,2023-11-21 16:31:00,Philo,Fr
UCeuZrCdpIY69XNWqn9OeSYQ,DagsHub,2.5,2023-11-21 18:17:00,IA,En
UCOchT7ZJ4TXe3stdLW1Sfxw,DansTonCorps,2.5,2023-11-21 16:31:00,Medical,Fr
UC3q8O3Bh2Le8Rj1-Q-_UUbA,Databricks,2.5,2023-11-21 16:21:00,Data,En
UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2.5,2023-11-21 16:29:00,Data,En
UCNbfqCkmHEyf1CVKjuhEW_A,DataEngUncomplicated,2.5,2023-11-21 18:43:00,Data,En
UCm5wThREh298TkK8hCT9HuA,datagueule,2.5,2023-11-21 18:24:00,Data,Fr
UCyR2Ct3pDOeZSRyZH5hPO-Q,DataIndependent,2.5,2023-11-21 18:41:00,Data,?
UCV8e2g4IWQqK71bbzGDEI4Q,DataProfessor,2.5,2023-11-21 16:45:00,Data,En
UCnVzApLJE2ljPZSeQylSEyg,dataschool,2.5,2023-11-21 16:45:00,Data,En
UCzL_0nIe8B4-7ShhVPfJkgw,Datasciencedojo,2.5,2023-11-21 16:40:00,IA,En
UCTVTlRE_gyvZvEFJOxRZlrA,DataScientest,2.5,2023-11-21 16:31:00,IA,Fr
UCWohS9uA2KjW47O0uMZBppA,David_Hicken,2.5,2023-11-21 18:24:00,Piano,En
UCwbV8cTR4yBgFdfa_BXV2OA,deadwattsofficiel,2.5,2023-11-21 18:33:00,Cinema,Fr
UCcIXc5mJsHVYTZR1maL5l9w,Deeplearningai,2.5,2023-11-21 16:31:00,IA,En
UCV4G8eTI0qxMbveC0rL3nkA,DepieloF1,2.5,2023-11-21 18:17:00,F1,Fr
UCjDg7LaaMzmuhj6I1jTzb1Q,DeveloppeurLibre,2.5,2023-11-21 18:41:00,Business,Fr
UCHkmaXC6ldOKBitB4xe449Q,DevenirPilote,2.5,2023-11-21 18:21:00,Fly,Fr
UCsVPQfo5RZErDL41LoWvk0A,DevoxxFRvideos,2.5,2023-11-21 18:21:00,Code,Fr
UCiw_8x43hludK0PhuN9AJGg,DIMENSI0N,2.5,2023-11-21 18:31:00,Science,Fr
UC0w4AA42ItXQEb9aZld87-w,dnegspoker,2.5,2023-11-21 16:21:00,Poker,En
UCo2zkK2d_frGSXctIkftALw,Docstring,2.5,2023-11-21 16:45:00,Python,Fr
UCcliHNE38fJ4n4gYYB0TCQw,Durendal1,2.5,2023-11-21 18:43:00,Cinema,Fr
UCZzhf8MVWZMDHaPi3b-YnaA,Easy2flyfr,2.5,2023-11-21 18:21:00,Fly,Fr
UC1TuJX4HZND3KttV-bH0aMA,ecolepilotefrance,2.5,2023-11-21 18:21:00,Fly,Fr
UCp8CElQTorSmhH_jVgSSv5g,EcranLargeVideos,2.5,2023-11-21 18:17:00,Cinema,Fr
UC4FjYNJEMUvCvq2zUdJ8Uzw,eDevenirTrader,2.5,2023-11-21 18:41:00,Finance,Fr
UCkw4JCwteGrDHIsyIIKo4tQ,edurekaIN,2.5,2023-11-21 16:21:00,Code,En
UCcziTK2NKeWtWQ6kB5tmQ8Q,Epenser1,2.5,2023-11-21 21:46:00,Science,Fr
UCJEZqCflPp4GMw9ezZEGuFQ,epenseraussi,2.5,2023-11-21 16:14:00,Science,Fr
UCPJJkwm48LGt7LC6tUZMWZQ,EricFlag,2.5,2023-11-21 18:43:00,Muscle,Fr
UC0o_ULEdwva8ksC63qvxMAA,EtincellesEPFL,2.5,2023-11-21 16:45:00,Misc.,?
UCSO-j_Rg4gf_Wpsjf4MSLyw,Exo7Math,2.5,2023-11-21 18:31:00,Maths,Fr
UCNb5m2Pt75dpjNnjIzNylqA,FabienOlicardLadeuxiemechaine,2.5,2023-11-21 16:47:00,Misc.,Fr
UCLXDNUOO3EQ80VmD9nQBHPg,Fouloscopie,2.5,2023-11-21 16:36:00,Science,Fr
UCgoxc-VKU0cw9BcM9z_qokg,frandroid,2.5,2023-11-21 16:23:00,Tech,Fr
UC8butISFwT-Wl7EV0hUK0BQ,freecodecamp,2.5,2023-11-21 16:14:00,Code,En
UCxWEtSo-Egz22h8kU0lz8Qw,GarageDesBlogs,2.5,2023-11-21 16:31:00,Cars,Fr
UCo4pMCeqy3BIuVo82bJxWbg,gillesvk,2.5,2023-11-21 16:40:00,Agriculture,Fr
UC3aPRnneybmQcbEK-X-Qptg,GLGreviews,2.5,2023-11-21 16:30:00,Misc.,Fr
UC1kz30iAcNahlzfPcKFZGpA,gradusadparnassumfr,2.5,2023-11-21 18:24:00,Music,Fr
UCj_iGliGCkLcHSZ8eqVNPDQ,grafikart,2.5,2023-11-21 16:21:00,Code,Fr
UCIHVyohXw6j2T-83-uLngEg,Gravenilvectuto,2.5,2023-11-21 16:42:00,Code,Fr
UC1-BjQoTDrJA4UI1tgGEsIQ,guitareimprovisation,2.5,2023-11-21 18:21:00,Guitar,Fr
UCGGrZas3bCSnnAKQ4Jstudg,GuitareJump,2.5,2023-11-21 16:24:00,Guitar,Fr
UCNYcuzbpukVEbSC_vSZ23ag,Guitarplugandplay,2.5,2023-11-21 18:21:00,Guitar,Fr
UCkJdvwRC-oGPhRHW_XPNokg,HangingPawns,2.5,2023-11-21 16:17:00,Chess,En
UCLEUKqhGX-PrMLPJhB-jS9Q,HarmonieetPiano,2.5,2023-11-21 16:30:00,Piano,Fr
UC61GK_nOLSJdzAK5hoR2mJA,HarryJMG,2.5,2023-11-21 18:41:00,Code,Fr
UChlTcWDE8gd4tsl_L727NrQ,Hasheur,2.5,2023-11-21 16:30:00,Finance,Fr
UCcT7B4zCzrfywO2Q19OJIzA,HistoireAppliquee,2.5,2023-11-21 16:37:00,History,Fr
UCXgGY0wkgOzynnHvSEVmE3A,HiteshChoudharydotcom,0,2023-11-21 18:17:00,Code,En
UCX7Y2qWriXpqocG97SFW2OQ,howardjeremyp,2.5,2023-11-21 18:23:00,IA,En
