channel_id,url,categ_1_id,language_id,interest,date,rss_url
College-de-France,https://www.youtube.com/College-de-France,Misc.,Fr,,2023-11-21 16:20:00,UCxUzB3gIWxjXFtT6ewG_XnQ
Computerphile,https://www.youtube.com/Computerphile,Code,En,,2023-11-21 16:40:00,UC9-y-6csu5WGm29I7JiwpnA
coreyms,https://www.youtube.com/coreyms,Python,En,,2023-11-21 18:24:00,UCCezIgC97PvUuR4_gbFUs5g
cyprien,https://www.youtube.com/cyprien,Humour,Fr,,2023-11-21 16:28:00,UCyWqModMQlbIo8274Wh_ZsQ
cyprien,https://www.youtube.com/cyprien,Humour,Fr,,2023-11-21 18:17:00,UCyWqModMQlbIo8274Wh_ZsQ
CyrusNorth,https://www.youtube.com/CyrusNorth,Philo,Fr,,2023-11-21 16:31:00,UCah8C0gmLkdtvsy0b2jrjrw
CyrusNorth,https://www.youtube.com/CyrusNorth,Philo,Fr,,2023-11-21 18:17:00,UCah8C0gmLkdtvsy0b2jrjrw
DagsHub,https://www.youtube.com/DagsHub,IA,En,,2023-11-21 18:17:00,UCeuZrCdpIY69XNWqn9OeSYQ
DansTonCorps,https://www.youtube.com/DansTonCorps,Medical,Fr,,2023-11-21 16:31:00,UCOchT7ZJ4TXe3stdLW1Sfxw
Databricks,https://www.youtube.com/Databricks,Data,En,,2023-11-21 16:21:00,UC3q8O3Bh2Le8Rj1-Q-_UUbA
DataCamp,https://www.youtube.com/DataCamp,Data,En,,2023-11-21 16:29:00,UC79Gv3mYp6zKiSwYemEik9A
DataEngUncomplicated,https://www.youtube.com/DataEngUncomplicated,Data,En,,2023-11-21 18:43:00,UCNbfqCkmHEyf1CVKjuhEW_A
datagueule,https://www.youtube.com/datagueule,Data,Fr,,2023-11-21 18:24:00,UCm5wThREh298TkK8hCT9HuA
DataIndependent,https://www.youtube.com/DataIndependent,Data,?,,2023-11-21 18:41:00,UCyR2Ct3pDOeZSRyZH5hPO-Q
DataProfessor,https://www.youtube.com/DataProfessor,Data,En,,2023-11-21 16:45:00,UCV8e2g4IWQqK71bbzGDEI4Q
dataschool,https://www.youtube.com/dataschool,Data,En,,2023-11-21 16:45:00,UCnVzApLJE2ljPZSeQylSEyg
Datasciencedojo,https://www.youtube.com/Datasciencedojo,IA,En,,2023-11-21 16:40:00,UCzL_0nIe8B4-7ShhVPfJkgw
DataScientest,https://www.youtube.com/DataScientest,IA,Fr,,2023-11-21 16:31:00,UCTVTlRE_gyvZvEFJOxRZlrA
David_Hicken,https://www.youtube.com/David_Hicken,Piano,En,,2023-11-21 18:24:00,UCWohS9uA2KjW47O0uMZBppA
deadwattsofficiel,https://www.youtube.com/deadwattsofficiel,Cinema,Fr,,2023-11-21 18:33:00,UCwbV8cTR4yBgFdfa_BXV2OA
Deeplearningai,https://www.youtube.com/Deeplearningai,IA,En,,2023-11-21 16:31:00,UCcIXc5mJsHVYTZR1maL5l9w
DefendIntelligence,https://www.youtube.com/DefendIntelligence,Code,?,,2023-11-21 18:17:00,
DepieloF1,https://www.youtube.com/DepieloF1,F1,Fr,,2023-11-21 18:17:00,UCV4G8eTI0qxMbveC0rL3nkA
Derkomai22,https://www.youtube.com/Derkomai22,Gaming,Fr,,2023-11-21 18:21:00,
DeveloppeurLibre,https://www.youtube.com/DeveloppeurLibre,Business,Fr,,2023-11-21 18:41:00,UCjDg7LaaMzmuhj6I1jTzb1Q
DevenirPilote,https://www.youtube.com/DevenirPilote,Fly,Fr,,2023-11-21 18:21:00,UCHkmaXC6ldOKBitB4xe449Q
DevoxxFRvideos,https://www.youtube.com/DevoxxFRvideos,Code,Fr,,2023-11-21 18:21:00,UCsVPQfo5RZErDL41LoWvk0A
DIMENSI0N,https://www.youtube.com/DIMENSI0N,Science,Fr,,2023-11-21 18:31:00,UCiw_8x43hludK0PhuN9AJGg
dnegspoker,https://www.youtube.com/dnegspoker,Poker,En,,2023-11-21 16:21:00,UC0w4AA42ItXQEb9aZld87-w
Docstring,https://www.youtube.com/Docstring,Python,Fr,,2023-11-21 16:45:00,UCo2zkK2d_frGSXctIkftALw
Durendal1,https://www.youtube.com/Durendal1,Cinema,Fr,,2023-11-21 18:43:00,UCcliHNE38fJ4n4gYYB0TCQw
Easy2flyfr,https://www.youtube.com/Easy2flyfr,Fly,Fr,,2023-11-21 18:21:00,UCZzhf8MVWZMDHaPi3b-YnaA
ecoledepilotagevirtuelle739,https://www.youtube.com/ecoledepilotagevirtuelle739,Cars,Fr,,2023-11-21 18:21:00,
ecolepilotefrance,https://www.youtube.com/ecolepilotefrance,Fly,Fr,,2023-11-21 18:21:00,UC1TuJX4HZND3KttV-bH0aMA
EcranLargeVideos,https://www.youtube.com/EcranLargeVideos,Cinema,Fr,,2023-11-21 18:17:00,UCp8CElQTorSmhH_jVgSSv5g
